id,title,title_reading,composer,composer_reading,performer,performer_reading,Copyright,misc
001,Chaconne from Partita No. 2 for Violin BWV 1004,ゔぁいおりんぱるてぃーた・だいにばんより・しゃこんぬ,J.S. Bach,ばっは,Peter Schmidt,ぺーたー・しゅみっと,PDM 1.0,Musopen
002,"Violin Partita no. 1, BWV 1002",ゔぁいおりんぱるてぃーた・だいいちばん・ろたんちょう,J.S. Bach,ばっは,Emil Telmanyi,てるまーにー・えみる,PDM 1.0,Musopen
003,"Violin Partita no. 3, BWV 1006",ゔぁいおりんぱるてぃーた・だいさんばん・ほちょうちょう,J.S. Bach,ばっは,Emil Telmanyi,てるまーにー・えみる,PDM 1.0,Musopen
004,"Violin Sonata no. 3 in C major, BWV 1005",ゔぁいおりんそなた・だいさんばん・はちょうちょう,J.S. Bach,ばっは,Emil Telmanyi,てるまーにー・えみる,PDM 1.0,Musopen
005,La Campanella,ら・かんぱねら,Franz Liszt,ふらんつ・りすと,MMT38,えむえむてぃーさんじゅうはち,PDM 1.0,MMT38
006,The Seasons - 04 - April - Snowdrop,しき・しがつ・まつゆきそう,Pyotr Tchaikovsky,ぴょーとる・ちゃいこふすきー,Gregor Quendel,ぐれごーる・けんでる,CC BY 4.0,Classicals.de
007,The Seasons - 10 - October - Autumn Song,しき・じゅうがつ・あきのうた,Pyotr Tchaikovsky,ぴょーとる・ちゃいこふすきー,Gregor Quendel,ぐれごーる・けんでる,CC BY 4.0,Classicals.de
008,Je demande a l'oiseau,じゅ・でゅまんだ・ろわぞー,Amy Beach,えいみー・びーち,Gregor Quendel,ぐれごーる・けんでる,CC BY 4.0,Classicals.de
009,Sonata No. 2 - 1. Presto (1707),そなただいにばん・だいいちがくしょう・ぷれすと,Elisabeth Jacquet de la Guerre,えりざべと・じゃけ・どらげーる,Gregor Quendel,ぐれごーる・けんでる,CC BY 4.0,Classicals.de
010,Valse mélancolique in F-sharp minor (spurious),ゆううつなわるつ・えいへたんちょう,Frederic Chopin,ふれでりっく・しょぱん,Gregor Quendel,ぐれごーる・けんでる,CC BY 4.0,Classicals.de
011,"Cello Suite no. 3 in C major, BWV 1009",むばんそうちぇろくみきょく・だいさんばん・はちょうちょう,J.S. Bach,ばっは,János Starker,やーのしゅ・しゅたるける,PDM 1.0,Musopen
012,"Lied ohne Worte, Op.109",むごんか・にちょうちょう,Felix Mendelssohn,ふぇりっくす・めんでるすぞーん,Colin Carr,こりん・かー,CC BY-NC-ND 3.0,Musopen
013,"Concerto grosso in F minor, Op.1 No.8",こんちぇるとぐろっそ・さくひんいち・だいはちばん・へたんちょう,Pietro Locatelli,ぴえとろ・ろかてっり,The Modena Chamber Orchestra,もでな・ちぇんばーおーけすとら,PDM 1.0,Musopen
014,"Violin Concerto in E major, RV 269 'Spring'",ゔぁいおりんきょうそうきょく・ほちょうちょう・しきより・はる,Antonio Vivaldi,ゔぃゔぁるでぃ,The Modena Chamber Orchestra,もでな・ちぇんばーおーけすとら,PDM 1.0,Musopen
015,"Violin Concerto in G minor, RV 315 'Summer'",ゔぁいおりんきょうそうきょく・とたんちょう・しきより・なつ,Antonio Vivaldi,ゔぃゔぁるでぃ,The Modena Chamber Orchestra,もでな・ちぇんばーおーけすとら,PDM 1.0,Musopen
016,"Violin Concerto in F major, RV 293 'Autumn'",ゔぁいおりんきょうそうきょく・へちょうちょう・しきより・あき,Antonio Vivaldi,ゔぃゔぁるでぃ,The Modena Chamber Orchestra,もでな・ちぇんばーおーけすとら,PDM 1.0,Musopen
017,"Violin Concerto in F minor, RV 297 'Winter'",ゔぁいおりんきょうそうきょく・へたんちょう・しきより・ふゆ,Antonio Vivaldi,ゔぃゔぁるでぃ,The Modena Chamber Orchestra,もでな・ちぇんばーおーけすとら,PDM 1.0,Musopen
018,"Oboe Concerto in D minor, Op. 9, no.2 - II. Adagio",おーぼえきょうそうきょく・にたんちょう・さくひんきゅうのだいにばん・だいにがくしょう・あだーじょ,Tomaso Albinoni,とまぞ・あるびのーに,Paul Arden-Taylor,ぽーる・あーでん・ていらー,PDM 1.0,Musopen
019,Anon - Medieval Dance Tunes,あのにます・ちゅうせいのだんすきょく,Anonymous,あのにます,Paul Arden-Taylor,ぽーる・あーでん・ていらー,PDM 1.0,Musopen
020,"Concerto for 2 Mandolins in G major, RV 532",にほんのまんどりんのためのきょうそうきょく・とちょうちょう,Antonio Vivaldi,あんとにお・ゔぃゔぁるでぃ,Advent Chamber Orchestra,あどゔぇんと・ちぇんばーおーけすとら,PDM 1.0,Musopen
021,"Lyric Pieces, Op. 54 - IV. Notturno",じょじょうしょうきょくしゅう・だいごしゅう・よそうきょく,Edvard Grieg,えどゔぁるど・ぐりーぐ,Edward Rosser,えどわーど・ろっさー,PDM 1.0,Musopen
022,3 Gymnopédies - I. Lent et douloureux,じむのぺでぃ・だいいちばん,Erik Satie,えりっく・さてぃ,Luis Kolodin,るいす・ころでぃん,CC BY-SA 4.0,IMSLP
023,"Nocturne in E minor, Op. posth. 72, No. 1",よそうきょく・だいじゅうきゅうばん・ほたんちょう・いさく,Frederic Chopin,ふれでりっく・しょぱん,Luke Faulkner,るーく・ふぉーくなー,PDM 1.0,Musopen
024,Goldberg Variations BWV 988 - Aria,ごるとべるくへんそうきょく・ありあ,J.S. Bach,ばっは,Shelley Katz,しぇりー・かっつ,PDM 1.0,Musopen
025,"Goldberg Variations, BWV 988 - Variation 25",ごるとべるくへんそうきょく・だいにじゅうごへんそう,J.S. Bach,ばっは,Shelley Katz,しぇりー・かっつ,PDM 1.0,Musopen